name,position,club,division,based_in,division_tier,tier_quality,date_of_birth,age_(days)_on_1_july_2023,age_(months)_on_1_july_2023,age_(years)_on_1_july_2023,birth_city,birth_postcode,nation_of_birth,birth_region,nationality,2nd_nationality,height_(ft_in),height_(ft),height_(in),height_(cm),weight_(kg),goals,appearances,is_top_4
Alex Hammond,GK,Aston Villa,English Premier Division,ENG,ENG1,1,12/02/2006,6348,208,17,-,,ENG,UK & Ireland,ENG,,"6'2""",6,2,187.96,74,0,0,YES
Will Procter,ST (C),Accrington,English Football League 2,ENG,ENG4,5,12/02/2006,6348,208,17,-,,ENG,UK & Ireland,ENG,,"5'10""",5,10,177.8,67,0,0,NO
Mirsad Ali,D/WB (L),Leicester,English Football League Championship,ENG,ENG2,3,10/02/2006,6350,208,17,Leicester,,ENG,UK & Ireland,ENG,,"5'11""",5,11,180.34,60,0,0,YES
Frankie Edwards,D (C),Maldon & Tiptree,English Isthmian League North Division,ENG,ENG8,6,08/02/2006,6352,208,17,-,,ENG,UK & Ireland,ENG,,"6'5""",6,5,195.58,84,0,0,NO
Matthew Goulding,D (C),Reading,English Football League 1,ENG,ENG3,4,08/02/2006,6352,208,17,-,,ENG,UK & Ireland,ENG,,"6'2""",6,2,187.96,78,0,0,YES
Mikey Berry,M (C),Charlton,English Football League 1,ENG,ENG3,4,08/02/2006,6352,208,17,-,,ENG,UK & Ireland,ENG,,"5'9""",5,9,175.26,64,0,0,YES
Temi Okuwa,M (C),Huddersfield,English Football League Championship,ENG,ENG2,3,08/02/2006,6352,208,17,-,,ENG,UK & Ireland,ENG,,"5'9""",5,9,175.26,65,0,0,YES
Albert Penney,GK,Millwall,English Football League Championship,ENG,ENG2,3,08/02/2006,6352,208,17,-,,ENG,UK & Ireland,ENG,,"6'2""",6,2,187.96,74,0,0,YES
Oliver Armstrong,M (C),Crewe,English Football League 2,ENG,ENG4,5,07/02/2006,6353,208,17,-,,ENG,UK & Ireland,ENG,,"5'10""",5,10,177.8,64,0,0,NO
Aran Fitzpatrick,AM (L),Carlisle,English Football League 1,ENG,ENG3,4,07/02/2006,6353,208,17,-,,ENG,UK & Ireland,ENG,,"5'9""",5,9,175.26,65,0,0,YES
Lucas Sant,D (L),Crewe,English Football League 2,ENG,ENG4,5,07/02/2006,6353,208,17,Stoke-on-Trent,,ENG,UK & Ireland,ENG,,"5'6""",5,6,167.64,58,0,0,NO
Noah Cooper,GK,Arsenal,English Premier Division,ENG,ENG1,1,06/02/2006,6354,208,17,-,,ENG,UK & Ireland,ENG,JAM,"6'1""",6,1,185.42,72,0,0,YES
Sam Hetherington,M (C),Carlisle,English Football League 1,ENG,ENG3,4,06/02/2006,6354,208,17,-,,ENG,UK & Ireland,ENG,,"5'5""",5,5,165.1,57,0,0,YES
Tyrell Giwa,"DM, M (C)",Luton,English Premier Division,ENG,ENG1,1,06/02/2006,6354,208,17,-,,ENG,UK & Ireland,ENG,,"6'5""",6,5,195.58,77,0,0,YES
Sam Aston,AM (C),Sheff Utd,English Premier Division,ENG,ENG1,1,04/02/2006,6356,208,17,-,,ENG,UK & Ireland,ENG,,"5'10""",5,10,177.8,66,0,0,YES
Stan Amos,GK,Wolves Casuals,English Midland Football League Premier Division,ENG,ENG9,6,04/02/2006,6356,208,17,Solihull,,ENG,UK & Ireland,ENG,,"6'5""",6,5,195.58,81,0,0,NO
Nathan Robinson,D (C),Crewe,English Football League 2,ENG,ENG4,5,04/02/2006,6356,208,17,-,,ENG,UK & Ireland,ENG,,"6'0""",6,0,182.88,72,0,0,NO
Sam Roberts,GK,Sutton,English Football League 2,ENG,ENG4,5,04/02/2006,6356,208,17,-,,ENG,UK & Ireland,ENG,,"6'3""",6,3,190.5,75,0,0,NO
Tyrique George,AM (RC),Chelsea,English Premier Division,ENG,ENG1,1,04/02/2006,6356,208,17,London,,ENG,UK & Ireland,ENG,,"5'11""",5,11,180.34,66,0,0,YES
Oli Challinor,AM (R),Stoke,English Football League Championship,ENG,ENG2,3,04/02/2006,6356,208,17,Crewe,,ENG,UK & Ireland,ENG,,"5'9""",5,9,175.26,61,0,0,YES
Chris Pooley,AM (L),Doncaster,English Football League 2,ENG,ENG4,5,03/02/2006,6357,208,17,-,,ENG,UK & Ireland,ENG,,"6'1""",6,1,185.42,71,0,0,NO
Leyton Holden,D (C),Morecambe,English Football League 2,ENG,ENG4,5,03/02/2006,6357,208,17,Warrington,,ENG,UK & Ireland,ENG,,"6'3""",6,3,190.5,76,0,0,NO
James Moorby,D (L),Harrogate,English Football League 2,ENG,ENG4,5,02/02/2006,6358,208,17,-,,ENG,UK & Ireland,ENG,,"5'10""",5,10,177.8,61,0,0,NO
Kai Jennings,M (C),AFC Wimbledon,English Football League 2,ENG,ENG4,5,02/02/2006,6358,208,17,-,,ENG,UK & Ireland,ENG,,"5'10""",5,10,177.8,60,0,0,NO
Patrick Staszewski,D (C),Cambridge City,English Northern Premier League Division One Mids,ENG,ENG8,6,01/02/2006,6359,209,17,-,,ENG,UK & Ireland,ENG,,"6'2""",6,2,187.96,73,0,0,NO
Sean Hogan,D (C),Bolton,English Football League 1,ENG,ENG3,4,01/02/2006,6359,209,17,-,,ENG,UK & Ireland,ENG,,"6'2""",6,2,187.96,78,0,0,YES
Ellis Horan,DM,Preston,English Football League Championship,ENG,ENG2,3,31/01/2006,6360,209,17,-,,ENG,UK & Ireland,ENG,,"5'6""",5,6,167.64,59,0,0,YES
Reece Johnson,WB (L),Sheffield Wednesday,English Football League Championship,ENG,ENG2,3,31/01/2006,6360,209,17,-,,ENG,UK & Ireland,ENG,,"5'10""",5,10,177.8,69,0,0,YES
Fletcher Hubbard,AM (LC),Swindon,English Football League 2,ENG,ENG4,5,30/01/2006,6361,209,17,-,,ENG,UK & Ireland,ENG,,"5'7""",5,7,170.18,61,0,0,NO
Cameron Gilbert,D (C),Burton,English Football League 1,ENG,ENG3,4,30/01/2006,6361,209,17,-,,ENG,UK & Ireland,ENG,,"6'0""",6,0,182.88,74,0,0,YES
Noah Aynsley-Johnson,ST (C),Mansfield,English Football League 2,ENG,ENG4,5,30/01/2006,6361,209,17,-,,ENG,UK & Ireland,ENG,,"5'8""",5,8,172.72,60,0,0,NO
Kamarni Ryan,AM (R),Arsenal,English Premier Division,ENG,ENG1,1,29/01/2006,6362,209,17,-,,ENG,UK & Ireland,ENG,,"6'0""",6,0,182.88,72,0,0,YES
Harrison McMahon,M (C),Chelsea,English Premier Division,ENG,ENG1,1,29/01/2006,6362,209,17,Thurrock,,ENG,UK & Ireland,ENG,,"5'8""",5,8,172.72,57,0,0,YES
Matthew Eckersall,AM (C),Wigan,English Football League 1,ENG,ENG3,4,29/01/2006,6362,209,17,-,,ENG,UK & Ireland,ENG,,"5'10""",5,10,177.8,66,0,0,YES
Jack Parry,ST (C),Crewe,English Football League 2,ENG,ENG4,5,28/01/2006,6363,209,17,-,,ENG,UK & Ireland,ENG,,"6'0""",6,0,182.88,74,0,0,NO
Muhamed Jatta,ST (C),Crewe,English Football League 2,ENG,ENG4,5,28/01/2006,6363,209,17,Manchester,,ENG,UK & Ireland,ENG,GAM,"5'10""",5,10,177.8,66,0,0,NO
Chinonso Chibueze,ST (C),Chelsea,English Premier Division,ENG,ENG1,1,28/01/2006,6363,209,17,London,,ENG,UK & Ireland,ENG,NGA,"6'0""",6,0,182.88,77,0,0,YES
Cole McGhee,D (C),Preston,English Football League Championship,ENG,ENG2,3,28/01/2006,6363,209,17,-,,ENG,UK & Ireland,ENG,,"6'1""",6,1,185.42,71,0,0,YES
Freddie Fletcher,D (C),Huddersfield,English Football League Championship,ENG,ENG2,3,26/01/2006,6365,209,17,-,,ENG,UK & Ireland,ENG,,"6'2""",6,2,187.96,77,0,0,YES
Rohan Vaughan,ST (C),Burnley,English Premier Division,ENG,ENG1,1,26/01/2006,6365,209,17,-,,ENG,UK & Ireland,ENG,,"5'11""",5,11,180.34,65,0,0,YES
Charlie Clements,ST (C),Grimsby,English Football League 2,ENG,ENG4,5,25/01/2006,6366,209,17,-,,ENG,UK & Ireland,ENG,,"6'0""",6,0,182.88,70,0,0,NO
Han Willhoft-King,"DM, M (C)",Tottenham,English Premier Division,ENG,ENG1,1,24/01/2006,6367,209,17,-,,ENG,UK & Ireland,ENG,,"5'7""",5,7,170.18,62,0,0,YES
Jaydan Davidson,AM (RL),Derby,English Football League 1,ENG,ENG3,4,24/01/2006,6367,209,17,-,,ENG,UK & Ireland,ENG,,"5'11""",5,11,180.34,62,0,0,YES
Will Flint,"DM, M (C)",Doncaster,English Football League 2,ENG,ENG4,5,24/01/2006,6367,209,17,-,,ENG,UK & Ireland,ENG,,"5'9""",5,9,175.26,67,0,0,NO
Lenny Holden,GK,Leyton Orient,English Football League 1,ENG,ENG3,4,23/01/2006,6368,209,17,-,,ENG,UK & Ireland,ENG,,"5'11""",5,11,180.34,69,0,0,YES
Kevin Dadie,AM (L),Shrewsbury,English Football League 1,ENG,ENG3,4,23/01/2006,6368,209,17,-,,ENG,UK & Ireland,ENG,,"5'7""",5,7,170.18,58,0,0,YES
Harry Rimmer,M (C),Wigan,English Football League 1,ENG,ENG3,4,22/01/2006,6369,209,17,-,,ENG,UK & Ireland,ENG,,"6'1""",6,1,185.42,73,0,0,YES
Scott Bailey,D (C),Newcastle,English Premier Division,ENG,ENG1,1,22/01/2006,6369,209,17,-,,ENG,UK & Ireland,ENG,,"5'11""",5,11,180.34,69,0,0,YES
Harrison Thompson,ST (C),Norwich,English Football League Championship,ENG,ENG2,3,22/01/2006,6369,209,17,London,,ENG,UK & Ireland,ENG,CYP,"5'8""",5,8,172.72,72,0,0,YES
Tom Olyott,AM (RL),Fulham,English Premier Division,ENG,ENG1,1,21/01/2006,6370,209,17,Liverpool,,ENG,UK & Ireland,ENG,,"5'10""",5,10,177.8,67,0,0,YES
Josh Campbell-Slowey,D (C),Bristol City,English Football League Championship,ENG,ENG2,3,21/01/2006,6370,209,17,-,,ENG,UK & Ireland,ENG,,"6'3""",6,3,190.5,76,0,0,YES
Jimmy-Jay Morgan,ST (C),Chelsea,English Premier Division,ENG,ENG1,1,21/01/2006,6370,209,17,Poole,,ENG,UK & Ireland,ENG,,"5'10""",5,10,177.8,69,0,0,YES
Emmaisa Nzondo,ST (C),Barnsley,English Football League 1,ENG,ENG3,4,21/01/2006,6370,209,17,Leeds,,ENG,UK & Ireland,ENG,,"5'10""",5,10,177.8,66,0,0,YES
Ethan Wheatley,ST (C),Man UFC,English Premier Division,ENG,ENG1,1,20/01/2006,6371,209,17,Stockport,,ENG,UK & Ireland,ENG,,"6'0""",6,0,182.88,65,0,0,YES
Kadan Young,AM (RL),Aston Villa,English Premier Division,ENG,ENG1,1,19/01/2006,6372,209,17,-,,ENG,UK & Ireland,ENG,,"5'9""",5,9,175.26,66,0,0,YES
Harrison Rhone,GK,Reading,English Football League 1,ENG,ENG3,4,19/01/2006,6372,209,17,-,,ENG,UK & Ireland,ENG,,"6'2""",6,2,187.96,73,0,0,YES
Ethan Eccleston,AM (RL),Preston,English Football League Championship,ENG,ENG2,3,18/01/2006,6373,209,17,-,,ENG,UK & Ireland,ENG,,"6'2""",6,2,187.96,73,0,0,YES
Jamari Hart,M/AM (L),Cogenhoe,English United Counties League Premier South,ENG,ENG9,6,18/01/2006,6373,209,17,Wellingborough,,ENG,UK & Ireland,ENG,,"5'7""",5,7,170.18,59,0,0,NO
Sam Lewis,GK,Aston Villa,English Premier Division,ENG,ENG1,1,18/01/2006,6373,209,17,-,,ENG,UK & Ireland,ENG,,"6'4""",6,4,193.04,79,0,0,YES
Harrison Fleury,AM (RL),Bolton,English Football League 1,ENG,ENG3,4,18/01/2006,6373,209,17,-,,ENG,UK & Ireland,ENG,,"6'1""",6,1,185.42,70,0,0,YES
Finlay Herrick,GK,West Ham,English Premier Division,ENG,ENG1,1,18/01/2006,6373,209,17,-,,ENG,UK & Ireland,ENG,,"6'0""",6,0,182.88,73,0,0,YES
William Gutierrez Ramirez,D (R),Reading,English Football League 1,ENG,ENG3,4,17/01/2006,6374,209,17,-,,ENG,UK & Ireland,ENG,,"6'2""",6,2,187.96,78,0,0,YES
Jake Leahy,D (L),QPR,English Football League Championship,ENG,ENG2,3,17/01/2006,6374,209,17,-,,ENG,UK & Ireland,ENG,,"5'1""",5,1,154.94,51,0,0,YES
Taylor Dodd,D (C),Birmingham,English Football League Championship,ENG,ENG2,3,17/01/2006,6374,209,17,-,,ENG,UK & Ireland,ENG,,"5'11""",5,11,180.34,71,0,0,YES
Josh Woodliffe,D (C),Gillingham,English Football League 2,ENG,ENG4,5,16/01/2006,6375,209,17,-,,ENG,UK & Ireland,ENG,,"5'9""",5,9,175.26,66,0,0,NO
Tom Cox,D (C),Walsall,English Football League 2,ENG,ENG4,5,16/01/2006,6375,209,17,Dudley,,ENG,UK & Ireland,ENG,,"6'2""",6,2,187.96,75,0,0,NO
Jayden Danns,ST (C),Liverpool,English Premier Division,ENG,ENG1,1,16/01/2006,6375,209,17,Liverpool,,ENG,UK & Ireland,ENG,GUY,"6'0""",6,0,182.88,71,0,0,YES
Josh Bayliss,ST (C),Gillingham,English Football League 2,ENG,ENG4,5,16/01/2006,6375,209,17,-,,ENG,UK & Ireland,ENG,,"6'0""",6,0,182.88,71,0,0,NO
Testimony Igbinoghene,D/M (L),Wolves,English Premier Division,ENG,ENG1,1,16/01/2006,6375,209,17,Manchester,,ENG,UK & Ireland,ENG,NGA,"5'6""",5,6,167.64,58,0,0,YES
Cameron Simpson,GK,Middlesbrough,English Football League Championship,ENG,ENG2,3,15/01/2006,6376,209,17,Stockton-on-Tees,,ENG,UK & Ireland,ENG,,"6'1""",6,1,185.42,73,0,0,YES
Tommy Neale,M (C),Leicester,English Football League Championship,ENG,ENG2,3,15/01/2006,6376,209,17,Leicester,,ENG,UK & Ireland,ENG,,"5'5""",5,5,165.1,52,0,0,YES
Liam Chadwick,M (C),Cambridge City,English Northern Premier League Division One Mids,ENG,ENG8,6,13/01/2006,6378,209,17,-,,ENG,UK & Ireland,ENG,,"5'9""",5,9,175.26,66,0,0,NO
Luke Grimshaw,D (C),Barnsley,English Football League 1,ENG,ENG3,4,13/01/2006,6378,209,17,-,,ENG,UK & Ireland,ENG,,"6'1""",6,1,185.42,73,0,0,YES
Eko Solomon,D/WB (L),Wigan,English Football League 1,ENG,ENG3,4,13/01/2006,6378,209,17,-,,ENG,UK & Ireland,ENG,,"5'6""",5,6,167.64,59,0,0,YES
Wellity Lucky,D (C),Liverpool,English Premier Division,ENG,ENG1,1,12/01/2006,6379,209,17,Zaragoza,,ESP,Western Europe,ENG,ESP,"6'0""",6,0,182.88,83,0,0,YES
Seb Ferdinand,AM (R),Arsenal,English Premier Division,ENG,ENG1,1,12/01/2006,6379,209,17,-,,ENG,UK & Ireland,ENG,,"5'10""",5,10,177.8,68,0,0,YES
Jayden Peglar,GK,Colchester,English Football League 2,ENG,ENG4,5,12/01/2006,6379,209,17,-,,ENG,UK & Ireland,ENG,,"5'11""",5,11,180.34,67,0,0,NO
Marcus Bald,GK,Northampton,English Football League 1,ENG,ENG3,4,11/01/2006,6380,209,17,Rugby,,ENG,UK & Ireland,ENG,,"6'4""",6,4,193.04,84,0,0,YES
Archie Stevens,AM (LC),Rangers,-,SCO,NONE,7,11/01/2006,6380,209,17,-,,ENG,UK & Ireland,ENG,,"6'2""",6,2,187.96,71,0,0,NO
Harry Sidwell,M (C),AFC Wimbledon,English Football League 2,ENG,ENG4,5,10/01/2006,6381,209,17,-,,ENG,UK & Ireland,ENG,,"5'10""",5,10,177.8,65,0,0,NO
Reuben Smillie,GK,Aberdeen,Scottish Premiership,SCO,SCO1,3,10/01/2006,6381,209,17,-,,ENG,UK & Ireland,ENG,,"6'2""",6,2,187.96,71,0,0,YES
Nathan Sandison,AM (C),Wigan,English Football League 1,ENG,ENG3,4,10/01/2006,6381,209,17,-,,ENG,UK & Ireland,ENG,,"5'10""",5,10,177.8,64,0,0,YES
Jarvis Thornton,M (C),Sheffield Wednesday,English Football League Championship,ENG,ENG2,3,10/01/2006,6381,209,17,-,,ENG,UK & Ireland,ENG,,"5'3""",5,3,160.02,53,0,0,YES
Leon Chiwome,ST (C),Wolves,English Premier Division,ENG,ENG1,1,10/01/2006,6381,209,17,Brighton,,ENG,UK & Ireland,ENG,ZIM,"6'4""",6,4,193.04,79,0,0,YES
Reuban Amissah,AM (RL),AFC Wimbledon,English Football League 2,ENG,ENG4,5,09/01/2006,6382,209,17,-,,ENG,UK & Ireland,ENG,GHA,"5'9""",5,9,175.26,66,0,0,NO
Adam Berry,AM (C),Burnley,English Premier Division,ENG,ENG1,1,09/01/2006,6382,209,17,Ashton-under-Lyne,,ENG,UK & Ireland,ENG,,"6'0""",6,0,182.88,67,0,0,YES
Connor High,D (C),Accrington,English Football League 2,ENG,ENG4,5,09/01/2006,6382,209,17,-,,ENG,UK & Ireland,ENG,,"6'1""",6,1,185.42,73,0,0,NO
Harrison Dudziak,M (C),Arsenal,English Premier Division,ENG,ENG1,1,09/01/2006,6382,209,17,London,,ENG,UK & Ireland,ENG,,"5'4""",5,4,162.56,60,0,0,YES
Tyler Young,M (C),QPR,English Football League Championship,ENG,ENG2,3,08/01/2006,6383,209,17,-,,ENG,UK & Ireland,ENG,,"5'7""",5,7,170.18,59,0,0,YES
George Barrett,GK,Walsall,English Football League 2,ENG,ENG4,5,08/01/2006,6383,209,17,Birmingham,,ENG,UK & Ireland,ENG,,"6'2""",6,2,187.96,74,0,0,NO
Justin Bennett,AM (RL),Doncaster,English Football League 2,ENG,ENG4,5,08/01/2006,6383,209,17,-,,ENG,UK & Ireland,ENG,,"5'10""",5,10,177.8,67,0,0,NO
Jacob Fowler,M (C),Oxford United,English Football League 1,ENG,ENG3,4,07/01/2006,6384,209,17,-,,ENG,UK & Ireland,ENG,,"5'11""",5,11,180.34,70,0,0,YES
Billy Blake,GK,Stockport,English Football League 2,ENG,ENG4,5,05/01/2006,6386,209,17,-,,ENG,UK & Ireland,ENG,,"6'0""",6,0,182.88,71,0,0,NO
Charlie Perkins,D (C),Bristol Rovers,English Football League 1,ENG,ENG3,4,04/01/2006,6387,209,17,-,,ENG,UK & Ireland,ENG,,"5'10""",5,10,177.8,68,0,0,YES
Jake Waters,ST (C),Sunderland,English Football League Championship,ENG,ENG2,3,04/01/2006,6387,209,17,-,,ENG,UK & Ireland,ENG,,"6'3""",6,3,190.5,69,0,0,YES
Christopher Ojemen,D/WB (R),Millwall,English Football League Championship,ENG,ENG2,3,03/01/2006,6388,209,17,-,,ENG,UK & Ireland,ENG,,"5'8""",5,8,172.72,63,0,0,YES
Remy-Lee Bennison,D (L),Brentford,English Premier Division,ENG,ENG1,1,03/01/2006,6388,209,17,-,,ENG,UK & Ireland,ENG,,"5'11""",5,11,180.34,69,0,0,YES
Max Scott,D (C),Luton,English Premier Division,ENG,ENG1,1,02/01/2006,6389,209,17,-,,ENG,UK & Ireland,ENG,,"6'1""",6,1,185.42,73,0,0,YES
Rylee Mitchell,GK,Stevenage,English Football League 1,ENG,ENG3,4,01/01/2006,6390,210,17,Hatfield,,ENG,UK & Ireland,ENG,,"6'4""",6,4,193.04,80,0,0,YES
Archie Burford,GK,Cheltenham,English Football League 1,ENG,ENG3,4,01/01/2006,6390,210,17,-,,ENG,UK & Ireland,ENG,,"6'0""",6,0,182.88,70,0,0,YES
Harry Chard,D/WB (L),Swindon,English Football League 2,ENG,ENG4,5,01/01/2006,6390,210,17,Middlesbrough,,ENG,UK & Ireland,ENG,,"6'4""",6,4,193.04,77,0,0,NO
Nathan Giblin,D/WB (L),Liverpool,English Premier Division,ENG,ENG1,1,31/12/2005,6391,210,17,-,,ENG,UK & Ireland,ENG,,"5'11""",5,11,180.34,69,0,0,YES
Rory Powell,D (C),Newcastle,English Premier Division,ENG,ENG1,1,31/12/2005,6391,210,17,-,,ENG,UK & Ireland,ENG,,"6'2""",6,2,187.96,71,0,0,YES
Harry Powell,D (C),Newcastle,English Premier Division,ENG,ENG1,1,31/12/2005,6391,210,17,-,,ENG,UK & Ireland,ENG,,"6'2""",6,2,187.96,74,0,0,YES
Nathanael Boot,D (C),Southampton,English Football League Championship,ENG,ENG2,3,30/12/2005,6392,210,17,-,,ENG,UK & Ireland,ENG,UGA,"6'0""",6,0,182.88,73,0,0,YES
Leo Farrell,ST (C),Barnsley,English Football League 1,ENG,ENG3,4,30/12/2005,6392,210,17,-,,ENG,UK & Ireland,ENG,,"6'1""",6,1,185.42,74,0,0,YES
Jake Griffin,D (C),Stoke,English Football League Championship,ENG,ENG2,3,30/12/2005,6392,210,17,Stockport,,ENG,UK & Ireland,ENG,,"6'1""",6,1,185.42,73,0,0,YES
Damon Park,D (C),Fulham,English Premier Division,ENG,ENG1,1,29/12/2005,6393,210,17,-,,ENG,UK & Ireland,ENG,,"6'2""",6,2,187.96,75,0,0,YES
Sam Edgington,"DM, M (C)",Notts Co,English Football League 2,ENG,ENG4,5,28/12/2005,6394,210,17,-,,ENG,UK & Ireland,ENG,,"5'10""",5,10,177.8,64,0,0,NO
Taite Holtam,GK,Gillingham,English Football League 2,ENG,ENG4,5,27/12/2005,6395,210,17,-,,ENG,UK & Ireland,ENG,,"6'1""",6,1,185.42,68,0,0,NO
Frankie Devereaux,D (C),Notts Co,English Football League 2,ENG,ENG4,5,27/12/2005,6395,210,17,-,,ENG,UK & Ireland,ENG,,"5'9""",5,9,175.26,65,0,0,NO
Ben Houston,GK,Stoke,English Football League Championship,ENG,ENG2,3,26/12/2005,6396,210,17,Derby,,ENG,UK & Ireland,ENG,,"6'3""",6,3,190.5,77,0,0,YES
Mason Hunter,D (C),Charlton,English Football League 1,ENG,ENG3,4,26/12/2005,6396,210,17,-,,ENG,UK & Ireland,ENG,,"5'10""",5,10,177.8,72,0,0,YES
Harley Mills,D/WB (L),Peterborough,English Football League 1,ENG,ENG3,4,26/12/2005,6396,210,17,-,,ENG,UK & Ireland,ENG,,"5'10""",5,10,177.8,64,0,0,YES
Ranel Young,AM (RL),Liverpool,English Premier Division,ENG,ENG1,1,26/12/2005,6396,210,17,Huddersfield,,ENG,UK & Ireland,ENG,,"5'9""",5,9,175.26,62,0,0,YES
Jesse Thompson,D/WB (L),Forest Green,English Football League 2,ENG,ENG4,5,26/12/2005,6396,210,17,-,,ENG,UK & Ireland,ENG,,"5'9""",5,9,175.26,65,0,0,NO
Karlos Gregory,"DM, M (C)",Bournemouth,English Premier Division,ENG,ENG1,1,25/12/2005,6397,210,17,Southampton,,ENG,UK & Ireland,ENG,,"5'8""",5,8,172.72,65,0,0,YES
Josh Iheanacho,ST (C),Aylesbury Utd,English Southern League Division One Central,ENG,ENG7,6,23/12/2005,6399,210,17,-,,ENG,UK & Ireland,ENG,,"5'11""",5,11,180.34,71,0,0,NO
Reon Smith-Kouassi,ST (C),Leyton Orient,English Football League 1,ENG,ENG3,4,23/12/2005,6399,210,17,-,,ENG,UK & Ireland,ENG,,"6'1""",6,1,185.42,73,0,0,YES
Nile Timson,D (C),Aston Villa,English Premier Division,ENG,ENG1,1,22/12/2005,6400,210,17,-,,ENG,UK & Ireland,ENG,,"6'1""",6,1,185.42,69,0,0,YES
Tom Lavery,D (RC),Sunderland,English Football League Championship,ENG,ENG2,3,19/12/2005,6403,210,17,-,,ENG,UK & Ireland,ENG,,"6'1""",6,1,185.42,78,0,0,YES
Josh Ayres,ST (C),Rotherham,English Football League Championship,ENG,ENG2,3,19/12/2005,6403,210,17,Chesterfield,,ENG,UK & Ireland,ENG,,"6'6""",6,6,198.12,87,0,0,YES
Ben Hatton,"AM (RL), ST (C)",Rotherham,English Football League Championship,ENG,ENG2,3,19/12/2005,6403,210,17,-,,ENG,UK & Ireland,ENG,,"5'9""",5,9,175.26,64,0,0,YES
Abube Onuchukwu,M (C),Aston Villa,English Premier Division,ENG,ENG1,1,18/12/2005,6404,210,17,-,,ENG,UK & Ireland,ENG,NGA,"5'10""",5,10,177.8,67,0,0,YES
Zane Albarus,M (C),Brighton,English Premier Division,ENG,ENG1,1,18/12/2005,6404,210,17,-,,ENG,UK & Ireland,ENG,,"6'3""",6,3,190.5,73,0,0,YES
Harry Hawkins,"DM, M (C)",Derby,English Football League 1,ENG,ENG3,4,18/12/2005,6404,210,17,-,,ENG,UK & Ireland,ENG,,"6'2""",6,2,187.96,71,0,0,YES
Ryan Tioffo,ST (C),Burnley,English Premier Division,ENG,ENG1,1,18/12/2005,6404,210,17,-,,ENG,UK & Ireland,ENG,,"5'9""",5,9,175.26,61,0,0,YES
Beaux Booth,M (C),Brentford,English Premier Division,ENG,ENG1,1,17/12/2005,6405,210,17,London,,ENG,UK & Ireland,ENG,SCO,"5'9""",5,9,175.26,69,0,0,YES
Connor Pace,M (C),Burton,English Football League 1,ENG,ENG3,4,17/12/2005,6405,210,17,-,,ENG,UK & Ireland,ENG,,"6'0""",6,0,182.88,71,0,0,YES
Kurtis Havenhand,ST (C),Sheff Utd,English Premier Division,ENG,ENG1,1,17/12/2005,6405,210,17,-,,ENG,UK & Ireland,ENG,,"5'10""",5,10,177.8,68,0,0,YES
Jaden Heskey,ST (C),Man City,English Premier Division,ENG,ENG1,1,17/12/2005,6405,210,17,-,,ENG,UK & Ireland,ENG,,"5'10""",5,10,177.8,67,0,0,YES
Harry Campbell,GK,Wigan,English Football League 1,ENG,ENG3,4,17/12/2005,6405,210,17,-,,ENG,UK & Ireland,ENG,,"6'0""",6,0,182.88,70,0,0,YES
Ezra Carrington,D (R),Man City,English Premier Division,ENG,ENG1,1,16/12/2005,6406,210,17,-,,ENG,UK & Ireland,ENG,,"5'11""",5,11,180.34,71,0,0,YES
Ben Creamer,"AM (R), ST (C)",Sunderland,English Football League Championship,ENG,ENG2,3,16/12/2005,6406,210,17,-,,ENG,UK & Ireland,ENG,,"5'9""",5,9,175.26,64,0,0,YES
Menzi Mazwi,M/AM (L),Birmingham,English Football League Championship,ENG,ENG2,3,16/12/2005,6406,210,17,-,,ENG,UK & Ireland,ENG,,"6'0""",6,0,182.88,72,0,0,YES
Aaron Ojungu,ST (C),Huddersfield,English Football League Championship,ENG,ENG2,3,15/12/2005,6407,210,17,-,,ENG,UK & Ireland,ENG,,"5'9""",5,9,175.26,64,0,0,YES
Ivan Imasuen,D/WB (R),Leyton Orient,English Football League 1,ENG,ENG3,4,15/12/2005,6407,210,17,-,,ENG,UK & Ireland,ENG,,"5'7""",5,7,170.18,57,0,0,YES
George Wilson,GK,Hull,English Football League Championship,ENG,ENG2,3,15/12/2005,6407,210,17,Hull,,ENG,UK & Ireland,ENG,,"6'2""",6,2,187.96,76,0,0,YES
Ché Ranger,AM (R),Burton,English Football League 1,ENG,ENG3,4,15/12/2005,6407,210,17,-,,ENG,UK & Ireland,ENG,,"5'8""",5,8,172.72,61,0,0,YES
Byron Pendleton,D/M (R),Birmingham,English Football League Championship,ENG,ENG2,3,15/12/2005,6407,210,17,-,,ENG,UK & Ireland,ENG,,"6'0""",6,0,182.88,70,0,0,YES
Seb Stacey,GK,MK Dons,English Football League 2,ENG,ENG4,5,14/12/2005,6408,210,17,-,,ENG,UK & Ireland,ENG,,"6'5""",6,5,195.58,81,0,0,NO
Dylan Scott,ST (C),Burton,English Football League 1,ENG,ENG3,4,14/12/2005,6408,210,17,-,,ENG,UK & Ireland,ENG,,"5'9""",5,9,175.26,68,0,0,YES
Ronnie Kokkinos,"DM, M (C)",Mansfield,English Football League 2,ENG,ENG4,5,12/12/2005,6410,210,17,-,,ENG,UK & Ireland,ENG,,"5'6""",5,6,167.64,57,0,0,NO
Ollie Scarles,D/WB (L),West Ham,English Premier Division,ENG,ENG1,1,12/12/2005,6410,210,17,-,,ENG,UK & Ireland,ENG,,"6'0""",6,0,182.88,70,0,0,YES
